	ID	First_name	Last_name	State	Gender	Age	GPA	Days_missed	Graduated
0	3	George	Matthews	Texas	male	17.0	3.5053763440860215	10.0	Yes
1	13	Todd	Phillips	Indiana	male	16.958874458874458	2.0	3.0	Yes
2	40	Ruth	Lopez	Ohio	female	16.0	4.0	16.77556109725686	Yes
3	47	Frank	Ortiz	Florida	male	16.0	3.5053763440860215	8.0	Yes
4	54	Stephen	Bailey	Connecticut	male	19.0	4.0	16.0	Yes
5	68	Patrick	Washington	Virginia	male	16.958874458874458	3.5053763440860215	4.0	Yes
6	70	Lois	Chavez	Minnesota	female	17.0	4.0	19.0	Yes
7	77	Emily	Frazier	California	female	16.0	3.0	3.0	Yes
8	94	Jack	Williamson	Florida	male	16.0	4.0	31.0	Yes
9	101	Diana	Evans	Texas	female	16.958874458874458	3.0	16.77556109725686	Yes
10	132	Andrew	Meyer		male	17.0	2.0	16.77556109725686	Yes
11	135	Bruce	Williamson	Minnesota	male	17.0	3.5053763440860215	16.77556109725686	Yes
12	153	Evelyn	Watson	New Jersey	female	18.0	4.0	12.0	Yes
13	162	Brandon	Bryant	Delaware	male	16.958874458874458	3.5053763440860215	33.0	Yes
14	177	Brandon	Carpenter	Florida	male	15.0	3.5053763440860215	18.0	Yes
15	181	John	Bailey	Virginia	male	17.0	3.5053763440860215	31.0	Yes
16	184	Patricia	Welch	Nevada	female	16.958874458874458	3.0	16.77556109725686	Yes
17	213	Mary	Oliver		female	18.0	3.5053763440860215	16.0	Yes
18	240	Gloria	Brooks	Texas	female	16.0	4.0	34.0	Yes
19	247	Victor	Palmer	Idaho	male	15.0	3.0	16.77556109725686	Yes
20	262	Amanda	Reyes	Texas	female	17.0	4.0	33.0	Yes
21	270	Patricia	Hawkins	California	female	16.0	3.5053763440860215	16.77556109725686	Yes
22	280	Melissa	Morales	District of Columbia	female	19.0	3.5053763440860215	30.0	Yes
23	292	Joseph	Kelley		male	16.958874458874458	3.0	16.77556109725686	Yes
24	307	Wayne	Diaz	Virginia	male	17.0	4.0	7.0	Yes
25	308	Lawrence	Bradley	West Virginia	male	19.0	4.0	25.0	Yes
26	315	Jacqueline	Gomez		female	16.0	3.5053763440860215	33.0	Yes
27	316	Gloria	Hunter	California	female	16.958874458874458	2.0	3.0	Yes
28	322	Catherine	Hanson	Virginia	female	18.0	4.0	29.0	Yes
29	328	Victor	Day	North Carolina	male	16.0	3.5053763440860215	4.0	Yes
30	330	Gary	Medina	Michigan	male	15.0	3.0	16.77556109725686	Yes
31	344	Deborah	Reynolds	Virginia	female	18.0	4.0	22.0	Yes
32	352	Nancy	Bryant	New York	female	18.0	4.0	19.0	Yes
33	365	Richard	Martin		male	17.0	3.5053763440860215	27.0	Yes
34	366	Todd	Hernandez		male	17.0	3.5053763440860215	2.0	Yes
35	367	Mary	Patterson	District of Columbia	female	17.0	4.0	13.0	Yes
36	368	Ann	Davis	California	female	16.0	2.0	16.77556109725686	Yes
37	370	Lisa	Stevens	Alabama	female	16.0	3.5053763440860215	2.0	Yes
38	375	Juan	Hernandez	Arizona	male	16.0	3.0	16.77556109725686	Yes
39	377	Janice	Ellis	New Jersey	female	18.0	3.0	16.77556109725686	Yes
40	393	Kathleen	Burton	Missouri	female	17.0	3.5053763440860215	16.77556109725686	Yes
41	399	Tammy	Fields	Tennessee	female	18.0	4.0	29.0	Yes
42	403	Jeffrey	Miller	Oregon	male	19.0	4.0	29.0	Yes
43	415	Carl	Mason	Indiana	male	19.0	3.5053763440860215	18.0	Yes
44	416	Richard	Wells	Texas	male	16.958874458874458	2.0	16.77556109725686	Yes
45	418	Cheryl	Banks	Texas	female	19.0	3.5053763440860215	6.0	Yes
46	426	Julia	Bishop	Ohio	female	19.0	3.5053763440860215	30.0	Yes
47	429	James	Olson	Louisiana	male	15.0	2.0	16.77556109725686	Yes
48	461	Judith	Wright	Florida	female	18.0	3.5053763440860215	16.77556109725686	Yes
49	464	Kimberly	Morgan	Illinois	female	16.0	3.5053763440860215	8.0	Yes
50	465	Patrick	Fields	Indiana	male	15.0	3.5053763440860215	12.0	Yes
51	469	Mary	Bradley	California	female	19.0	4.0	16.77556109725686	Yes
52	486	Andrew	Day	Alabama	male	16.958874458874458	3.5053763440860215	30.0	Yes
53	507	Christina	Schmidt	Texas	female	19.0	3.5053763440860215	13.0	Yes
54	519	Jimmy	Hicks	Minnesota	male	18.0	3.0	2.0	Yes
55	521	Virginia	Reed	Wisconsin	female	18.0	3.5053763440860215	30.0	Yes
56	522	Doris	Collins	Ohio	female	19.0	3.5053763440860215	26.0	Yes
57	526	Kelly	Franklin		female	16.0	4.0	34.0	Yes
58	528	Louis	Martin	District of Columbia	male	18.0	3.5053763440860215	16.0	Yes
59	533	Emily	Hamilton	Ohio	female	16.0	4.0	25.0	Yes
